IssuingNetwork,CardNumber
American Express,378653385105630
American Express,346648617471486
American Express,348895578663100
American Express,344625078150074
American Express,345867651549764
American Express,342388514709779
American Express,376132285352578
American Express,371187601080910
American Express,346035683194723
American Express,372435681044044
American Express,343401632968836
American Express,371267795657622
American Express,372045095853490
American Express,340001874504183
American Express,341873268979729
American Express,377722141686802
American Express,348891317575424
American Express,341329115208416
American Express,348763601217809
American Express,345763061077241
American Express,372884398951241
American Express,346612822022781
American Express,377283263455021
American Express,348649370086519
American Express,379647783364715
American Express,345050067829852
American Express,341672865274074
American Express,342116459915626
American Express,376680186219700
American Express,340017505254469
American Express,371112244150425
American Express,374288694523209
American Express,344434392648677
American Express,340715693027205
American Express,340044941227610
American Express,374013470463069
American Express,370719323343522
American Express,373650817252589
American Express,345908763948476
American Express,341686993758709
American Express,372354404030281
American Express,379629479960154
American Express,349255411579832
American Express,378442674914443
American Express,377377158776572
American Express,349387036671627
American Express,373774872583009
American Express,378900007471571
American Express,379341695471723
American Express,376786199405275
American Express,372814514858871
American Express,372474274989729
American Express,342370022529949
American Express,379495846066434
American Express,372643568162785
American Express,372842296218949
American Express,373613538936385
American Express,377493327230167
American Express,372784397133926
American Express,348746222565052
American Express,342073727640058
American Express,373998112864305
American Express,342964611810098
American Express,372705335919845
American Express,376371536286389
American Express,375797959922921
American Express,378077684163290
American Express,348498851770732
American Express,370769323603391
American Express,372450311430679
American Express,378322321330435
American Express,344329406067189
American Express,377293982590065
American Express,371151657988145
American Express,349726907303663
American Express,374752180942819
American Express,342094515978211
American Express,373104588732478
American Express,374815664045027
American Express,343347235557791
American Express,341035848647396
American Express,341895481721224
American Express,377081316473227
American Express,370359064441589
American Express,340436787005185
American Express,340497299532108
American Express,375772529955842
American Express,377397167305064
American Express,372725710921695
American Express,341124046412066
American Express,344632403504868
American Express,347127671749664
American Express,376964054708451
American Express,347922276183842
American Express,343269703209202
American Express,371434326606771
American Express,372057715742532
American Express,345545952034997
American Express,374484500272723
American Express,378308330257727


